Country Name,Safety Index
Venezuela,16.84
Papua New Guinea,19.74
Afghanistan,21.81
South Africa,24.63
Honduras,25.34
Trinidad And Tobago,29.43
Guyana,31.07
Jamaica,31.71
El Salvador,32.41
Syria,32.53
Peru,32.76
Brazil,33.21
Angola,33.34
Somalia,33.59
Cameroon,34.74
Namibia,35.03
Nigeria,35.91
Argentina,35.91
Bangladesh,36.94
Mozambique,37.06
Bahamas,37.09
Puerto Rico,38.23
Dominican Republic,38.51
Us Virgin Islands,38.76
Libya,39.41
Zimbabwe,40.39
Colombia,41.29
Bolivia,41.56
North Korea,41.93
Guatemala,42.01
Ecuador,42.13
Belarus,42.82
Fiji,42.91
Chile,43.49
Kenya,43.67
Kyrgyzstan,44.12
Tanzania,44.21
Uganda,44.41
Maldives,44.87
Mongolia,45.54
France,45.61
Malaysia,45.63
Mexico,46.1
Costa Rica,46.14
Botswana,46.3
Algeria,46.75
Kazakhstan,46.96
Uruguay,47.87
Belize,48.03
Cambodia,48.28
Iran,50.25
Ethiopia,50.58
Paraguay,50.99
Mauritius,51.22
Sweden,51.23
United States,51.59
Nicaragua,51.9
Greece,52.03
Myanmar,52.17
Moldova,52.57
Morocco,52.63
Albania,52.99
Barbados,53.06
Belgium,53.29
Zambia,53.36
United Kingdom,53.38
Egypt,53.39
Lebanon,53.41
Ukraine,53.43
Ghana,53.75
Italy,53.76
Iraq,53.83
Indonesia,53.94
Ireland,54.13
Vietnam,54.24
Sudan,54.41
Australia,55.17
New Zealand,55.39
India,55.43
Tunisia,56.06
Malta,56.28
Canada,56.37
Panama,56.39
Kosovo (Disputed Territory),56.59
Bosnia And Herzegovina,57.29
Philippines,57.64
Palestine,58.09
Pakistan,58.44
Jordan,58.99
North Macedonia,59.03
Sri Lanka,59.03
Montenegro,59.61
Turkey,60.11
Russia,60.68
Thailand,61.08
Latvia,61.51
Bulgaria,61.63
Serbia,61.82
Nepal,62.23
Germany,62.99
Luxembourg,64.42
Spain,65.03
Hungary,66.09
Uzbekistan,66.32
Norway,66.49
Kuwait,66.99
Lithuania,67.45
Romania,67.5
Israel,67.82
Poland,67.87
Azerbaijan,68.27
Cuba,68.28
Portugal,68.47
Cyprus,68.94
Slovakia,69.46
Brunei,70.45
China,71.18
Netherlands,72.43
Singapore,72.78
Finland,73.16
Austria,73.18
Denmark,73.66
South Korea,73.87
Czech Republic,74.22
Rwanda,74.46
Georgia,74.75
Bahrain,75.05
Monaco,75.08
Saudi Arabia,75.38
Iceland,75.7
Estonia,75.86
Croatia,76.01
Slovenia,76.83
Japan,77.76
Switzerland,77.88
Armenia,78.25
Hong Kong,78.38
Oman,80.28
Isle Of Man,81.72
Taiwan,83.85
United Arab Emirates,85.13
Qatar,85.85
Bermuda,
Seychelles,
UK,
St. Vincent & ...,
USA,
Tr.&Tobago,
Saint Lucia,
Ant.& Barb.,
Aruba,
UA Emirates,
C.A. Republic,
Montserrat,
Eq. Guinea,
Djibouti,
Czechia,
G.-Bissau,
Senegal,
Grenada,
Domin. Rep.,
Togo,
R. of Congo,
Bosnia & Herz.,
Mali,
DR Congo,
Swaziland,
Cape Verde,
Tajikistan,
Dominica,
Comoros,
Gabon,
Lesotho,
Laos,
Suriname,
S.T.&Principe,
Benin,
Liberia,
Ivory Coast,
Niger,
Malawi,
Chad,
Gambia,
Haiti,
Burkina Faso,
Burundi,
Mauritania,
Burma,
Sierra Leone,
Bhutan,
Guinea,
Madagascar,
